White Rum,Bacardi Carta Blanca,1l,17.29,37.5%
Vodka,Absolut Vodka,1l,17.49,40.0%
Whiskey,Chivas Regal 12 years,1l,30.49,40.0%
Dark Rum,Havana Club Anejo 7 Years,1l,26.79,40.0%
Syrup,Giffard Blue Curacao,1l,9.13
Lime,Rauch,250ml,1.49
Soda Water,Voeslauer,1.5l,0.69
Ice,self made,1kg,0.69
Mint,LGV Frischgemuese,20g,1.99
Tequila,Sierra Tequila Reposado Mexican Gold,1l,16.95,38.0%
Gin,Mare Mediterranean,1.75l,89.90,42.7%
Bitter,Angostura Aromatic,0.2l,13.35,44.7%
